transcriptID,geneID
YBR065C_mRNA,YBR065C
YBR066C_mRNA,YBR066C
YBR067C_mRNA,YBR067C
YBR068C_mRNA,YBR068C
YBR069C_mRNA,YBR069C
YBR070C_mRNA,YBR070C
YBR071W_mRNA,YBR071W
YBR072W_mRNA,YBR072W
YBR072C-A_mRNA,YBR072C-A
YBR073W_mRNA,YBR073W
YBR074W_mRNA,YBR074W
YBR076W_mRNA,YBR076W
YBR076C-A_mRNA,YBR076C-A
YBR077C_mRNA,YBR077C
YBR078W_mRNA,YBR078W
YBR079C_mRNA,YBR079C
YBR080C_mRNA,YBR080C
YBR081C_mRNA,YBR081C
YBR082C_mRNA,YBR082C
YBR083W_mRNA,YBR083W
YBR084W_mRNA,YBR084W
YBR084C-A_mRNA,YBR084C-A
YBR085W_mRNA,YBR085W
YBR085C-A_mRNA,YBR085C-A
YBR086C_mRNA,YBR086C
YBR087W_mRNA,YBR087W
YBR088C_mRNA,YBR088C
YBR089W_mRNA,YBR089W
YBR089C-A_mRNA,YBR089C-A
YBR090C_mRNA,YBR090C
YBR091C_mRNA,YBR091C
YBR092C_mRNA,YBR092C
YBR093C_mRNA,YBR093C
YBR094W_mRNA,YBR094W
YBR095C_mRNA,YBR095C
YBR096W_mRNA,YBR096W
YBR097W_mRNA,YBR097W
YBR098W_mRNA,YBR098W
YBR099C_mRNA,YBR099C
YBR101C_mRNA,YBR101C
YBR102C_mRNA,YBR102C
YBR103W_mRNA,YBR103W
YBR103C-A_mRNA,YBR103C-A
YBR104W_mRNA,YBR104W
YBR105C_mRNA,YBR105C
YBR106W_mRNA,YBR106W
YBR107C_mRNA,YBR107C
YBR108W_mRNA,YBR108W
YBR109C_mRNA,YBR109C
YBR109W-A_mRNA,YBR109W-A
YBR110W_mRNA,YBR110W
YBR111C_mRNA,YBR111C
YBR111W-A_mRNA,YBR111W-A
YBR112C_mRNA,YBR112C
YBR113W_mRNA,YBR113W
YBR114W_mRNA,YBR114W
YBR115C_mRNA,YBR115C
YBR116C_mRNA,YBR116C
YBR117C_mRNA,YBR117C
YBR118W_mRNA,YBR118W
